age,years_experience,education,salary,target_highvalue
55,16,2,65830,1
22,4,1,32732,1
40,11,1,47266,1
35,6,2,55087,1
56,20,1,70982,1
24,5,3,45068,1
33,10,2,52180,1
50,14,1,59210,1
43,11,3,61189,1
54,20,3,81570,1
55,20,3,74768,1
29,6,3,50868,1
46,13,2,64574,1
46,13,1,56156,1
42,11,3,56010,1
32,9,1,46755,1
35,6,1,27478,1
54,18,3,83032,1
46,11,3,57852,1
58,20,2,71189,1
36,6,2,40371,1
20,2,1,29319,1
30,6,2,47341,1
31,8,2,70880,1
33,4,1,31156,1
27,3,1,42434,1
50,17,1,79589,1
26,4,1,36891,1
50,14,2,61001,1
35,9,2,57117,1
58,23,2,98366,1
38,9,1,53219,1
27,3,1,43601,1
48,17,1,57787,1
21,0,1,38990,1
22,0,1,21901,1
48,15,2,58766,1
34,9,2,55398,1
57,19,2,82855,1
47,17,2,73895,1
56,21,3,90645,1
51,16,2,61706,1
49,18,3,80520,1
49,12,3,63035,1
53,14,2,57537,1
32,6,2,39212,1
52,17,1,57655,1
36,11,3,52634,1
22,0,1,30503,1
28,7,2,52665,1
30,5,3,35666,1
46,15,1,66785,1
47,11,1,68549,1
21,0,1,27607,1
20,2,2,18360,1
25,4,2,38047,1
44,10,2,45084,1
54,21,3,75427,1
35,9,1,45526,1
23,3,3,48601,1
57,18,2,77496,1
39,7,1,40141,1
44,14,3,69288,1
26,3,3,27638,1
40,8,1,57151,1
26,1,2,38936,1
48,18,1,77251,1
26,1,2,32308,1
22,5,3,54542,1
48,16,2,66950,1
48,16,2,70874,1
58,20,1,68047,1
57,18,1,58420,1
25,3,2,36103,1
29,7,3,49389,1
56,18,3,77326,1
33,5,1,43899,1
41,11,1,53756,1
51,18,1,60818,1
37,6,1,39142,1
55,21,1,72518,1
28,7,2,54148,1
45,11,2,52366,1
41,9,2,58206,1
57,17,3,55533,1
42,11,3,76558,1
36,10,2,49662,1
45,14,3,71739,1
57,17,2,70558,1
21,2,1,13045,1
25,5,3,31905,1
26,1,1,22339,1
32,8,1,35256,1
46,13,1,38488,1
30,4,2,38122,1
34,11,2,48814,1
28,5,1,33128,1
27,1,2,22050,1
25,3,3,35607,1
23,0,1,36548,1
30,8,2,52936,1
47,12,2,64924,1
45,13,2,60923,1
23,0,2,33490,1
34,6,3,42172,1
38,8,2,56237,1
25,4,1,25319,1
24,5,3,31040,1
37,10,1,41902,1
25,2,1,27406,1
50,16,1,56606,1
44,10,1,49350,1
23,2,2,18926,1
25,3,2,32212,1
56,18,2,76407,1
44,15,3,65357,1
53,18,1,63065,1
38,7,2,49103,1
53,14,3,76690,1
34,7,2,49897,1
27,2,2,31195,1
53,17,2,71710,1
37,9,2,59608,1
49,12,2,65821,1
32,7,2,45702,1
52,20,2,87081,1
54,15,2,69683,1
43,13,1,56150,1
45,14,1,61205,1
20,0,3,43134,1
32,6,2,50360,1
29,5,1,32889,1
38,12,1,46904,1
24,5,3,43724,1
27,1,3,43032,1
23,1,2,29466,1
32,9,1,44062,1
57,21,1,76240,1
38,11,2,58968,1
27,4,2,47384,1
46,14,3,87867,1
49,16,3,71689,1
23,5,1,42187,1
30,4,1,37797,1
40,8,1,59835,1
21,0,1,18830,1
40,10,3,58868,1
36,12,2,70513,1
48,17,2,68085,1
46,16,3,62884,1
43,10,1,50798,1
22,1,3,30481,1
58,19,1,82505,1
29,5,1,22110,1
22,0,2,31142,1
45,13,1,41512,1
56,20,2,86468,1
46,16,2,60920,1
24,3,2,31210,1
30,4,3,43611,1
32,4,2,32393,1
53,15,3,61138,1
57,16,1,64503,1
59,17,1,83948,1
52,14,2,48037,1
53,16,2,72736,1
46,16,1,53596,1
55,18,1,83775,1
45,12,3,66605,1
44,15,1,52657,1
38,9,1,56557,1
40,11,1,47049,1
50,14,3,69072,1
48,17,1,45303,1
28,2,1,26908,1
38,13,1,68040,1
45,16,3,82642,1
44,11,1,36729,1
59,23,2,94136,1
48,13,3,74138,1
44,15,3,69431,1
38,11,1,51648,1
23,4,1,37730,1
39,9,2,48638,1
20,0,1,19342,1
30,6,1,43700,1
23,0,1,36606,1
26,5,1,40093,1
47,15,2,58555,1
55,16,1,48445,1
26,7,1,32905,1
39,12,2,77701,1
54,20,1,58795,1
58,22,1,72881,1
40,9,1,57246,1
20,3,2,39751,1
56,22,3,96709,1
22,3,3,46223,1
53,16,1,66146,1
32,9,2,50892,1
35,9,3,45474,1
53,18,1,68987,1
43,13,2,67613,1
32,6,3,59982,1
25,2,3,46141,1
58,23,1,99526,1
21,3,1,35783,1
30,5,1,24750,1
26,4,1,23117,1
26,4,2,42576,1
58,23,1,57065,1
58,20,2,63323,1
31,9,1,57538,1
41,11,1,49795,1
22,0,1,36865,1
32,4,3,40591,1
49,17,3,75466,1
29,2,1,18923,1
28,3,2,32120,1
25,0,1,27399,1
21,3,3,57988,1
35,6,1,33054,1
32,8,2,52596,1
32,4,1,28358,1
41,14,3,50548,1
38,9,2,47310,1
45,15,3,68112,1
33,7,2,37608,1
50,14,2,57485,1
48,17,2,72673,1
41,12,2,64985,1
26,1,2,26473,1
56,19,2,66200,1
46,13,1,61130,1
50,17,1,59681,1
25,5,2,35969,1
35,7,1,40639,1
57,16,1,55550,1
57,17,3,80555,1
51,17,2,69569,1
52,14,2,53659,1
36,6,3,45646,1
52,15,1,69029,1
30,4,2,56776,1
32,4,1,37471,1
49,13,1,46340,1
20,2,1,19449,1
49,18,2,67168,1
46,12,1,39059,1
59,21,3,85246,1
42,9,2,53683,1
39,10,1,46671,1
25,0,3,28127,1
56,22,2,76924,1
39,12,3,50216,1
56,16,2,62072,1
25,0,2,33270,1
48,16,3,66378,1
32,7,1,35536,1
46,12,2,55368,1
39,9,1,38038,1
32,10,3,57924,1
58,21,1,83278,1
27,1,1,23971,1
36,11,1,62815,1
49,12,2,46828,1
20,0,1,14937,1
43,10,2,53366,1
35,8,3,59508,1
30,8,2,51144,1
23,0,2,29736,1
23,1,3,31716,1
36,11,3,65707,1
29,7,3,52720,1
40,8,2,45503,1
57,22,2,77911,1
37,8,1,49292,1
29,3,2,38960,1
35,7,3,31883,1
58,17,3,61973,1
34,9,1,43303,1
53,19,1,76530,1
24,1,2,29666,1
36,8,2,50925,1
56,20,3,75540,1
27,4,3,38234,1
43,12,2,67670,1
47,17,1,58296,1
27,3,2,29675,1
42,10,1,46571,1
54,15,2,73802,1
50,16,1,46725,1
36,10,3,58193,1
47,17,3,73087,1
31,7,1,28776,1
43,13,2,60374,1
34,8,2,58633,1
59,19,3,82863,1
50,18,1,78683,1
46,14,2,54716,1
54,16,3,75958,1
37,7,1,40885,1
55,17,1,61260,1
27,5,2,50384,1
57,19,2,73246,1
24,2,2,31199,1
33,10,2,45627,1
57,21,1,67941,1
39,7,2,44244,1
28,3,1,21555,1
52,14,1,62274,1
37,6,1,44945,1
25,5,2,36973,1
56,19,3,83999,1
21,3,1,34488,1
49,14,2,64645,1
25,0,2,35761,1
36,6,3,38102,1
58,21,1,63832,1
42,13,3,58501,1
50,13,1,55935,1
39,10,2,54753,1
24,6,2,41024,1
40,8,1,37046,1
30,9,1,59259,1
23,0,2,25353,1
42,11,3,59146,1
57,19,3,85624,1
49,18,2,65265,1
37,12,3,70884,1
50,18,2,71466,1
49,16,1,59093,1
53,20,1,65406,1
50,18,2,80547,1
57,22,2,85747,1
44,12,1,57415,1
36,7,1,36869,1
55,18,2,64624,1
59,20,1,69700,1
49,18,3,82462,1
21,4,1,24393,1
43,12,1,43691,1
28,6,1,40095,1
20,3,3,33549,1
